market,model,test_start,test_end,n_months,benchmark,test_mse,benchmark_mse,oos_r2
Chinese Mainland,OLS,2023-07-31,2026-06-30,36,MA(12),0.003652246844161892,0.0025521839976285184,-0.4310280322874638
Chinese Mainland,Decision tree,2023-07-31,2026-06-30,36,MA(12),0.00714963100753839,0.0025521839976285184,-1.801377570810649
Chinese Mainland,Random forest,2023-07-31,2026-06-30,36,MA(12),0.004268809026159832,0.0025521839976285184,-0.6726102154571914
Chinese Mainland,Gradient boosting,2023-07-31,2026-06-30,36,MA(12),0.0050041652538457574,0.0025521839976285184,-0.9607384336300253
