universe,model,forecast_quintile,mean_excess_return,mean_stock_return,observations
Hang Seng Index,Decision tree,1,0.0015086797706937815,0.002244953324538135,832
Hang Seng Index,Decision tree,2,-0.0017392914124487167,-0.0010030178586043664,832
Hang Seng Index,Decision tree,3,-0.002105438645785963,-0.001369165091941611,780
Hang Seng Index,Decision tree,4,-0.00038451148831619817,0.0003517620655281548,832
Hang Seng Index,Decision tree,5,0.0013696145945792213,0.002105888148423575,832
Hang Seng Index,Gradient boosting,1,-0.002114047405822559,-0.0013777738519782114,832
Hang Seng Index,Gradient boosting,2,0.00028366518263022556,0.0010199387364745792,832
Hang Seng Index,Gradient boosting,3,-0.0013355363963691211,-0.0005992628425247698,780
Hang Seng Index,Gradient boosting,4,0.0005571535175429534,0.0012934270713873077,832
Hang Seng Index,Gradient boosting,5,0.0013059368113291785,0.002042210365173534,832
Hang Seng Index,Random forest,1,-0.00326612830514463,-0.002529854751300282,832
Hang Seng Index,Random forest,2,-0.0014224132017914475,-0.0006861396479470947,832
Hang Seng Index,Random forest,3,0.0017369289665465388,0.0024732025203908917,780
Hang Seng Index,Random forest,4,0.0014655814483983656,0.002201855002242722,832
Hang Seng Index,Random forest,5,0.00037523188648407903,0.0011115054403284309,832
