forecast_week,split,universe,benchmark_ticker,ticker,company_name,sector,stock_return,market_return,risk_free_yield_pct,risk_free_return,excess_return,characteristic_date,mom5d,mom20d,mom60d,close_vs_sma20d,maxret20d,minret20d,donchian_pos20d,efficiency_ratio20d,bop_mean20d,clv_mean20d,log_dolvol20d,abn_dolvol20d,illiq20d,natr20d,rv20d,downside_rv20d,rsi20d,adx20d,mom10d,mom120d,high52w_gap,close_vs_sma60d,rv60d,rv_ratio_20_60,skew60d,illiq60d,dolvol_trend,hl_spread20d,beta_mkt60d,ivol_mkt60d,mom5d_rank,mom20d_rank,mom60d_rank,close_vs_sma20d_rank,maxret20d_rank,minret20d_rank,donchian_pos20d_rank,efficiency_ratio20d_rank,bop_mean20d_rank,clv_mean20d_rank,log_dolvol20d_rank,abn_dolvol20d_rank,illiq20d_rank,natr20d_rank,rv20d_rank,downside_rv20d_rank,rsi20d_rank,adx20d_rank,mom10d_rank,mom120d_rank,high52w_gap_rank,close_vs_sma60d_rank,rv60d_rank,rv_ratio_20_60_rank,skew60d_rank,illiq60d_rank,dolvol_trend_rank,hl_spread20d_rank,beta_mkt60d_rank,ivol_mkt60d_rank,complete_characteristics,usable_for_ml
2023-07-07,development,Hang Seng Index,^HSI,0001.HK,CKH HOLDINGS,Commerce & Industry,-0.0386624192504786,-0.0291138696809114,5.43,0.0010145945647097,-0.0396770138151883,2023-06-30,-0.0062305459247911,0.0257234448949637,0.0265560705208123,-0.0154827836061012,0.0214362198990381,-0.0236140072873624,0.326922929279419,0.1481482493826769,0.1682580703630768,0.2095297324046424,18.845721062189178,0.1731621663011277,5.499333532087759e-11,1.733316596535309,0.1682044497836282,0.110181677500494,45.1808921028634,14.681380076809424,-0.0224719385715148,0.0649012678785059,-0.0837350976936041,-0.0231192849797914,0.1748277620774682,0.962115214339327,0.158026866859258,4.6483338211217e-11,-0.2009788365983169,0.0160663823075687,0.43444475047426,0.1537936315683013,-0.1962025316455696,-0.1075949367088607,0.3481012658227848,-0.0063291139240506,-0.3987341772151899,0.2974683544303798,-0.0696202531645569,-0.0569620253164557,0.4493670886075949,0.4746835443037974,-0.1708860759493671,0.259493670886076,-0.0063291139240506,-0.4113924050632911,-0.3860759493670886,-0.3734177215189873,-0.0949367088607595,0.0443037974683544,0.1329113924050633,0.2848101265822784,0.3734177215189873,0.1329113924050633,-0.4367088607594936,-0.120253164556962,-0.0949367088607595,-0.0443037974683544,-0.2721518987341772,-0.4113924050632911,-0.4113924050632911,-0.3987341772151899,True,True
2023-07-07,development,Hang Seng Index,^HSI,0002.HK,CLP HOLDINGS,Utilities,-0.0279145694188281,-0.0291138696809114,5.43,0.0010145945647097,-0.0289291639835378,2023-06-30,-0.0105606528762142,0.0871116734683881,0.0842405529395387,0.0395595148955627,0.0785340836510866,-0.0235580881993067,0.8067224258144882,0.4039725696761461,0.0565144877934497,0.0692273408005026,18.80384152870918,-0.0057213830786481,6.086694921380469e-11,1.797802707440855,0.3045258139051722,0.1016198417844493,60.96606902591853,22.906062131380995,0.0817050342943415,0.1045888573641469,-0.0762496296989543,0.0496299374901327,0.2146682305819226,1.418588177112485,2.5892190009939178,6.734021408872112e-11,0.2879385406749968,0.0182989272824555,0.1781517546516408,0.2160460590331286,-0.2341772151898734,0.2215189873417721,0.4240506329113924,0.4873417721518988,0.3734177215189873,0.310126582278481,0.4240506329113924,0.4493670886075949,0.0822784810126582,0.0569620253164556,-0.1962025316455696,0.1962025316455696,0.0316455696202531,-0.3860759493670886,-0.0443037974683544,-0.4240506329113924,0.5,0.4367088607594936,0.5,0.310126582278481,0.3987341772151899,0.4367088607594936,-0.2974683544303798,0.5,0.5,0.0569620253164556,0.4873417721518988,-0.3481012658227848,-0.4746835443037974,-0.1329113924050632,True,True
2023-07-07,development,Hang Seng Index,^HSI,0003.HK,HK & CHINA GAS,Utilities,-0.0487444139242708,-0.0291138696809114,5.43,0.0010145945647097,-0.0497590084889805,2023-06-30,0.0029630055020251,-0.0125452900215905,0.0088281418055335,-0.0215393327249895,0.0276564688926184,-0.025973995530608,0.1790372224824679,0.0627147927737318,-0.0914892909044927,-0.0776566937519433,18.140958826121093,-0.5002261909089251,1.2104784982838184e-10,1.924371692031274,0.2148677508470753,0.1432464440916711,44.27646094490165,12.61616859422875,-0.0145559246802896,-0.0577926149610354,-0.1723622882066859,-0.0180734917165397,0.2150142937983639,0.999318450189056,1.570419782822254,1.0263430888769995e-10,-0.1484424199123104,0.017938789422218,0.3249380237256533,0.2081353151093771,-0.1075949367088607,-0.3734177215189873,0.2721518987341772,-0.1329113924050632,-0.3354430379746835,0.1708860759493671,-0.3354430379746835,-0.2974683544303798,-0.4493670886075949,-0.3860759493670886,-0.3354430379746835,-0.0569620253164557,0.2215189873417721,-0.3607594936708861,-0.2974683544303798,-0.2088607594936709,-0.1455696202531645,-0.2341772151898734,0.2215189873417721,0.0316455696202531,0.1329113924050633,0.1962025316455696,-0.2848101265822784,-0.0696202531645569,0.4746835443037974,0.1962025316455696,-0.1708860759493671,-0.3734177215189873,-0.4620253164556962,-0.1708860759493671,True,True
2023-07-07,development,Hang Seng Index,^HSI,0005.HK,HSBC HOLDINGS,Finance,-0.0057376024194859,-0.0291138696809114,5.43,0.0010145945647097,-0.0067521969841956,2023-06-30,0.020920442961142,0.0636443050125563,0.1489915876933696,0.0134994309955216,0.0163229735007,-0.0252854895881037,0.8472219636476785,0.4649670658268818,0.253496493630001,0.2002011742141468,20.60112502522733,0.4952352722053532,6.788103613541883e-12,1.4340579333894383,0.1482366212383986,0.0924599972575042,60.412135421771815,15.803974075262897,0.0158200223918563,0.3125478083281905,-0.0081300894078186,0.0520735058749501,0.1771553464974742,0.8367606406985415,0.5858694804813975,1.0803054258407184e-11,0.1654602215257945,0.0103858805859333,0.5166209786487695,0.1478036902838416,0.1582278481012657,0.1075949367088607,0.4873417721518988,0.310126582278481,-0.4620253164556962,0.2088607594936709,0.4746835443037974,0.4873417721518988,0.4873417721518988,0.4493670886075949,0.3481012658227848,0.3354430379746835,-0.4367088607594936,-0.4873417721518987,-0.4367088607594936,-0.4367088607594936,0.4873417721518988,0.1455696202531645,0.4367088607594936,0.4746835443037974,0.5,0.4493670886075949,-0.4240506329113924,-0.3734177215189873,0.1962025316455696,-0.3987341772151899,0.4113924050632911,-0.4873417721518987,-0.3607594936708861,-0.4113924050632911,True,True
2023-07-07,development,Hang Seng Index,^HSI,0006.HK,POWER ASSETS,Utilities,-0.0292325251108405,-0.0291138696809114,5.43,0.0010145945647097,-0.0302471196755502,2023-06-30,0.008599441031353,-0.0155876230935094,0.0225315025582943,-0.0131026386717619,0.0182040681749011,-0.016867338072404,0.2340397328660306,0.0948912020735813,-0.0083663759172456,-0.1452190462399197,18.176386623756425,-0.6113239780111481,1.1157127971469888e-10,1.6776420641204228,0.162065669400827,0.1156919942156157,43.95357431675768,16.281449173543145,-0.0036408573637498,0.0045925372839845,-0.1503681042275703,-0.0281879293196714,0.152688777014837,1.0614117983607845,-0.4251217990220473,8.460170297067092e-11,-0.1216522216828543,0.0166579902288701,0.3326961734291785,0.1383485375045212,-0.0443037974683544,-0.3860759493670886,0.3354430379746835,0.0569620253164556,-0.4240506329113924,0.4493670886075949,-0.2974683544303798,-0.2341772151898734,-0.0696202531645569,-0.4493670886075949,-0.3227848101265823,-0.1582278481012658,0.1582278481012657,-0.4367088607594936,-0.3987341772151899,-0.3354430379746835,-0.1835443037974683,0.1708860759493671,0.310126582278481,0.1962025316455696,0.1835443037974683,0.1075949367088607,-0.4746835443037974,0.0569620253164556,-0.3860759493670886,0.1329113924050633,-0.0696202531645569,-0.3987341772151899,-0.4493670886075949,-0.4367088607594936,True,True
2023-07-07,development,Hang Seng Index,^HSI,0011.HK,HANG SENG BANK,Finance,,-0.0291138696809114,5.43,0.0010145945647097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
2023-07-07,development,Hang Seng Index,^HSI,0012.HK,HENDERSON LAND,Properties,-0.0278971307013292,-0.0291138696809114,5.43,0.0010145945647097,-0.0289117252660389,2023-06-30,0.006479544272588,0.0456463790511894,-0.0915825632405841,-0.0143644701364552,0.0446808663678115,-0.0273107697689176,0.43207138242248,0.1987696453197587,0.0042203264620062,-0.0475736001009278,17.810370537210165,-0.3601567737449785,2.032708065872932e-10,2.704067745644996,0.2380600781068411,0.1478083544756101,40.96141742804992,28.721671412585472,-0.0168776358901528,-0.0982499194056025,-0.1836315119402339,-0.0691670115232845,0.2534402493489935,0.939314409287163,-0.7708973370428807,2.1119409014722263e-10,0.033340843680321,0.0257163736175637,0.7719004950336371,0.203027198719794,-0.0822784810126582,0.0316455696202531,-0.0949367088607595,0.0316455696202531,-0.0696202531645569,0.1329113924050633,0.0822784810126582,0.0822784810126582,-0.0189873417721518,-0.3227848101265823,-0.4240506329113924,0.069620253164557,0.3481012658227848,-0.2215189873417721,-0.2215189873417721,-0.1455696202531645,-0.3481012658227848,0.4873417721518988,0.1708860759493671,-0.0696202531645569,0.0949367088607594,-0.2721518987341772,-0.2088607594936709,-0.2215189873417721,-0.4746835443037974,0.3734177215189873,0.2974683544303798,-0.1582278481012658,-0.1708860759493671,-0.1835443037974683,True,True
2023-07-07,development,Hang Seng Index,^HSI,0016.HK,SHK PPT,Properties,-0.0364740260992539,-0.0291138696809114,5.43,0.0010145945647097,-0.0374886206639636,2023-06-30,0.0107524843707571,-0.0010123759699606,-0.1075950707316742,-0.0222157481899362,0.0303643541382232,-0.0244754423620591,0.3032236818496385,0.005051657327251,0.0571497839949063,0.0692189484895251,19.13585591134872,0.6567104057096401,4.4093829229275777e-11,2.137893913831753,0.2075323437728477,0.1410600763927933,41.48615857830313,17.245458220598994,-0.0285434141553881,-0.06522040910422,-0.1303618077612677,-0.0564581096947164,0.1923468718985281,1.078948369289471,-0.0082687912873147,3.9600132314021435e-11,-0.1419047124770145,0.0192853905773448,0.6619433292201807,0.1435900001503653,0.0063291139240506,-0.3354430379746835,-0.1329113924050632,-0.1455696202531645,-0.2848101265822784,0.259493670886076,-0.120253164556962,-0.4873417721518987,0.1075949367088607,0.0443037974683544,-0.0949367088607595,0.3734177215189873,-0.1455696202531645,-0.3227848101265823,-0.3227848101265823,-0.2341772151898734,-0.310126582278481,0.2468354430379746,0.069620253164557,-0.0063291139240506,0.2468354430379746,-0.120253164556962,-0.3860759493670886,0.069620253164557,-0.2468354430379746,-0.1329113924050632,-0.1582278481012658,-0.3227848101265823,-0.2721518987341772,-0.4240506329113924,True,True
2023-07-07,development,Hang Seng Index,^HSI,0017.HK,NEW WORLD DEV,Properties,-0.039419054492598,-0.0291138696809114,5.43,0.0010145945647097,-0.0404336490573077,2023-06-30,-0.0292044431436495,0.0310160564584092,-0.0905660795155559,-0.0243408739819497,0.055921041849398,-0.0245988964137769,0.3798881820040969,0.1039428116318042,0.0059115656971228,0.0799924018692271,18.46533548912844,-0.3740309175719556,1.6800148760134767e-10,3.179322606179514,0.2931511749220649,0.1643964029208044,43.31764566178813,13.30776199293448,-0.034068094920865,-0.098555152794176,-0.2571688952169713,-0.0440380618980936,0.2410450504339009,1.21616757695032,0.7713622112224777,1.4575304231110007e-10,0.2113094480661317,0.0318169288226583,0.8691719489430428,0.1746725876504736,-0.4113924050632911,-0.0822784810126582,-0.0822784810126582,-0.1708860759493671,0.0949367088607594,0.2341772151898734,0.0316455696202531,-0.1962025316455696,0.0063291139240506,0.1075949367088607,-0.2594936708860759,0.0443037974683544,0.310126582278481,0.0443037974683544,-0.0569620253164557,-0.0569620253164557,-0.2468354430379746,-0.120253164556962,0.0063291139240506,-0.0822784810126582,-0.1455696202531645,-0.0063291139240506,-0.2341772151898734,0.3734177215189873,0.310126582278481,0.310126582278481,0.4493670886075949,0.1582278481012657,-0.0949367088607595,-0.310126582278481,True,True
2023-07-07,development,Hang Seng Index,^HSI,0027.HK,GALAXY ENT,Commerce & Industry,-0.0020122439229256,-0.0291138696809114,5.43,0.0010145945647097,-0.0030268384876353,2023-06-30,-0.0451487389400945,0.0397490466710179,-0.0368216258804281,-0.0301965264084634,0.0418410079143267,-0.024015291896194,0.2631582344991611,0.1217950451539446,-0.0208918037399186,0.0242125525669169,19.44029513891191,0.9036485974062076,5.6946184924976866e-11,2.907729114048128,0.2849757579862759,0.164674457453641,43.79823193865141,9.276583614312257,-0.0405404616076806,-0.0368216258804281,-0.1475128644939966,-0.0565828303101022,0.3279431514700516,0.8689791407712945,0.4685295895172504,4.6371488434462106e-11,-0.298048589697359,0.024889396340244,0.8016470299843609,0.2909750309230159,-0.4620253164556962,-0.0189873417721518,0.1075949367088607,-0.2215189873417721,-0.0949367088607595,0.2721518987341772,-0.2468354430379746,-0.120253164556962,-0.1835443037974683,-0.1582278481012658,0.0189873417721518,0.4113924050632911,0.0063291139240506,-0.1455696202531645,-0.0822784810126582,-0.0443037974683544,-0.2088607594936709,-0.4620253164556962,-0.0443037974683544,0.0569620253164556,0.1962025316455696,-0.1329113924050632,0.0443037974683544,-0.3481012658227848,0.1455696202531645,-0.0569620253164557,-0.4113924050632911,-0.1708860759493671,-0.1329113924050632,0.1708860759493671,True,True
