universe,model,validation_mse,max_depth,min_samples_leaf,learning_rate,test_mse,oos_r2,forecast_correlation
Hang Seng Index,Zero,,,,,0.002189178850185249,0.0,
Hang Seng Index,OLS,,,,,0.002200802713301531,-0.005309690944300227,0.021419323362197193
Hang Seng Index,Decision tree,0.0026298989533010573,1.0,30.0,,0.0021922785954451036,-0.0014159397070696578,0.021542029792172675
Hang Seng Index,Random forest,0.0026253706024656123,2.0,60.0,,0.0021889400565148465,0.00010907910533775045,0.039277878568138164
Hang Seng Index,Gradient boosting,0.0026637407048793033,1.0,30.0,0.01,0.0021882313587178914,0.000432806788388862,0.025107635394895935
