universe,model,sortable,weeks,mean_weekly_spread,t_statistic,annualized_sharpe,hit_rate,first_half_mean,second_half_mean,note
Hang Seng Index,Decision tree,True,52,-0.00013906517611456047,-0.05714534928407859,-0.05714534928407859,0.4807692307692308,0.001610166613488024,-0.0018882969657171447,
Hang Seng Index,Random forest,True,52,0.0036413601916287087,1.0381757136287246,1.0381757136287246,0.5961538461538461,-0.0025554946040934365,0.009838214987350853,
Hang Seng Index,Gradient boosting,True,52,0.0034199842171517367,0.8687739125989506,0.8687739125989506,0.5576923076923077,-0.0024499903009366445,0.009289958735240116,
