week,pdd_close,jd_close,pdd_return,jd_return,pdd_weight,jd_weight,long_pdd_short_jd_return,long_pdd_short_jd_wealth
2023-06-30,69.14,34.13,,,0.5,-0.5,,100.0
2023-07-07,70.0,35.76,0.012438530517790092,0.04775857017286822,0.5,-0.5,-0.017660019827539064,98.2339980172461
2023-07-14,79.49,38.14,0.13557142857142845,0.06655480984340056,0.5,-0.5,0.034508309364013945,101.62388721088915
2023-07-21,75.97,37.07,-0.04428229966033459,-0.02805453592029361,0.5,-0.5,-0.00811388187002049,100.79932299488772
2023-07-28,89.35,40.53,0.1761221534816375,0.09333693013218247,0.5,-0.5,0.04139261167472752,104.97167022869051
2023-08-04,87.52,39.09,-0.020481253497481755,-0.0355292376017764,0.5,-0.5,0.007523992052147321,105.76147624119182
2023-08-11,81.55,36.46,-0.06821297989031072,-0.06728063443335897,0.5,-0.5,-0.00046617272847587765,105.71217312524482
2023-08-18,76.98,33.11,-0.05603923973022673,-0.09188151398793198,0.5,-0.5,0.017921137128852627,107.60665547601134
2023-08-25,79.91,32.96,0.03806183424266041,-0.0045303533675625784,0.5,-0.5,0.021296093805111493,109.89825690508279
2023-09-01,103.29,34.1,0.29257915154548875,0.034587378640776656,0.5,-0.5,0.12899588645235605,124.07467997412272
2023-09-08,95.34,32.4,-0.07696776067383093,-0.04985337243401766,0.5,-0.5,-0.013557194119906635,122.39257545234825
2023-09-15,99.46,31.57,0.04321376127543508,-0.025617283950617242,0.5,-0.5,0.03441552261302616,126.60477990049506
2023-09-22,95.93,30.41,-0.035491654936657846,-0.03674374406081726,0.5,-0.5,0.0006260445620797084,126.68404013448506
2023-09-29,98.07,29.13,0.02230793286771582,-0.04209141729694188,0.5,-0.5,0.03219967508232885,130.7632250649322
2023-10-06,105.64,29.61,0.07718976241460185,0.016477857878475888,0.5,-0.5,0.03035595226806298,134.73266728342125
2023-10-13,106.1,27.05,0.004354411207875719,-0.0864572779466396,0.5,-0.5,0.04540584457725766,140.85031783357164
2023-10-20,102.78,24.38,-0.031291234684260094,-0.09870609981515721,0.5,-0.5,0.03370743256544856,145.59802042376873
2023-10-27,108.28,25.65,0.05351235648958941,0.052091878589007434,0.5,-0.5,0.0007102389502909867,145.70142980895892
2023-11-03,106.42,26.94,-0.01717768747691173,0.05029239766081872,0.5,-0.5,-0.033735042568865226,140.78618587200918
2023-11-10,109.04,25.76,0.024619432437511746,-0.043801039346696324,0.5,-0.5,0.034210235892104035,145.6025145010402
2023-11-17,115.15,27.61,0.056034482758620774,0.07181677018633525,0.5,-0.5,-0.00789114371385724,144.45354413401353
2023-11-24,118.7,28.76,0.030829353017802763,0.041651575516117534,0.5,-0.5,-0.005411111249157385,143.6718899363693
2023-12-01,145.27,27.16,0.22384161752316767,-0.0556328233657859,0.5,-0.5,0.13973722044447678,163.74820049208233
2023-12-08,138.96,26.45,-0.04343635988159977,-0.026141384388807087,0.5,-0.5,-0.008647487746396343,162.33218993483257
2023-12-15,148.35,27.41,0.06757340241796195,0.03629489603024583,0.5,-0.5,0.01563925319385806,164.8709441547369
2023-12-22,144.48,27.59,-0.026086956521739202,0.006566946369938043,0.5,-0.5,-0.016326951445838622,162.17910425469293
2023-12-29,146.31,28.89,0.012666112956810638,0.047118521203334485,0.5,-0.5,-0.017226204123261923,159.3853739002738
2024-01-05,146.53,26.68,0.001503656619506577,-0.076497057805469,0.5,-0.5,0.03900035721248779,165.6014604168304
2024-01-12,148.63,24.7,0.014331536204190254,-0.07421289355322336,0.5,-0.5,0.044272214878706806,172.93300385663198
2024-01-19,143.64,22.29,-0.03357330283253723,-0.09757085020242917,0.5,-0.5,0.03199877368494597,178.46664790969825
