week_end,adjusted_close,weekly_return
2023-06-30,193.97000122070312,
2023-07-07,190.67999267578125,-0.01696142972736503
2023-07-14,190.69000244140625,5.249510179083927e-05
2023-07-21,191.94000244140625,0.0065551417693441305
2023-07-28,195.8300018310547,0.020266746588356144
2023-08-04,181.9900054931641,-0.07067352401819693
2023-08-11,177.7899932861328,-0.02307825748809622
2023-08-18,174.49000549316406,-0.018561155956948516
2023-08-25,178.61000061035156,0.023611639563785314
2023-09-01,189.4600067138672,0.0607469126389264
2023-09-08,178.17999267578125,-0.059537705258934315
2023-09-15,175.00999450683594,-0.017790988322204493
2023-09-22,174.7899932861328,-0.001257078039017534
2023-09-29,171.2100067138672,-0.020481644886873762
2023-10-06,177.49000549316406,0.036680091893181554
2023-10-13,178.85000610351562,0.007662406717340087
2023-10-20,172.8800048828125,-0.03337993299954256
2023-10-27,168.22000122070312,-0.026955133795074637
2023-11-03,176.64999389648438,0.05011290342770347
2023-11-10,186.3999938964844,0.05519388812271031
2023-11-17,189.69000244140625,0.017650261012073454
2023-11-24,189.97000122070312,0.0014760861178404472
2023-12-01,191.2400054931641,0.006685288541876222
2023-12-08,195.7100067138672,0.023373776889286324
2023-12-15,197.57000732421875,0.009503860541331122
2023-12-22,193.6000061035156,-0.020094149281415286
2023-12-29,192.52999877929688,-0.005526897161597155
2024-01-05,181.17999267578125,-0.05895188373489002
2024-01-12,185.9199981689453,0.026161859392754394
2024-01-19,191.55999755859372,0.030335625243086195
2024-01-26,192.4199981689453,0.004489458244477884
2024-02-02,185.8500061035156,-0.03414401895826469
2024-02-09,188.8500061035156,0.01614204951023268
2024-02-16,182.30999755859372,-0.034630703381269945
2024-02-23,182.5200042724609,0.0011519209954444776
2024-03-01,179.66000366210938,-0.01566951864674626
2024-03-08,170.72999572753906,-0.04970504148138155
2024-03-15,172.6199951171875,0.011070107403180707
2024-03-22,172.27999877929688,-0.001969623146263033
2024-03-29,171.47999572753906,-0.004643621183110569
2024-04-05,169.5800018310547,-0.01107997401343086
2024-04-12,176.5500030517578,0.04110155174810681
