forecast_month,market_return,exports_yoy_lag2,imports_yoy_lag2,cli_gap_lag2,reer_12m_lag2,benchmark_ma12
2006-07-31,-0.0741554307722989,23.80371,19.13388,0.19442115847400032,1.5206398526957932,
2006-08-31,0.0336983370985475,23.4816,19.3853,0.3110924158849997,1.9474465808185126,
2006-09-30,0.0471137035181348,22.18396,19.5864,0.4313494622030021,0.033783423470024054,
2006-10-31,0.0426881749023015,31.75251,23.71819,0.5881324419519984,-0.30489125644777015,
2006-11-30,0.1575464308584253,31.78123,24.5026,0.8211045352200017,0.03029644187753089,
2006-12-31,0.1744245481956809,28.25612,13.19832,1.149731865570999,-0.5868838666222342,
2007-01-31,0.1558730982258156,32.02283,17.77943,1.5687436920700009,-1.9556432467032758,
2007-02-28,0.0646241974360615,26.76546,16.4006,2.0590652638509965,-0.9893262340476827,
2007-03-31,0.089129333590856,29.60904,22.71624,2.601052134788006,2.0541468612348845,
2007-04-30,0.2463071090697184,52.43945,13.61796,3.1704745205530003,2.2187037499134865,
2007-05-31,0.0987195416416764,10.31278,17.74587,3.7537659892110042,2.1632689072218048,
2007-06-30,-0.0426141858045756,26.62201,20.13491,4.341795066106997,2.2011589988012004,
2007-07-31,0.169770843205633,27.88264,17.82977,4.903712095085993,5.276330452386224,0.08277957149669528
2007-08-31,0.1718304338710279,28.95184,17.31804,5.415364629018001,5.303536279345078,0.10310676099485627
2007-09-30,0.052229174589609,31.54579,23.23244,5.873050466639995,5.980409528843622,0.11461776905922964
2007-10-31,0.0191196975549345,22.24798,19.32204,6.259487738505001,6.9416732346586185,0.11504405831518583
2007-11-30,-0.1829630518369818,23.77106,18.93933,6.479487446091994,5.363968007651265,0.11308001853623857
2007-12-31,0.1194110575784055,21.17501,23.97263,6.416276593180001,2.7504175224937644,0.08470422831162132
2008-01-31,-0.1444203490126323,21.74319,24.70721,6.017292546839997,3.2204674009137513,0.08011977076018169
2008-02-29,0.0116516199907987,21.3369,26.02191,5.311519887291993,4.630595325169318,0.05509531682364437
2008-03-31,-0.2096270504171347,24.87442,26.22804,4.350888333891007,4.575855339250956,0.050680935369872476
2008-04-30,0.0435159273430976,5.819671,28.25911,3.2083153474749935,5.958805782128707,0.025784570035873245
2008-05-31,-0.0919456528021012,33.15864,28.15836,1.964740346531002,5.269542994867504,0.008885304891988183
2008-06-30,-0.2573824126392372,21.87037,25.63458,0.6732172221190069,6.88209188234461,-0.00700346131165995
