month,US_S&P500,HK_HangSeng,US_SPY,CN_CSI300
2006-07-31,1276.6600341796875,16971.33984375,88.52926635742188,1294.33
2006-08-31,1303.8199462890625,17392.26953125,90.46119689941406,1338.69
2006-09-30,1335.8499755859375,17543.05078125,92.90377807617188,1403.27
2006-10-31,1377.93994140625,18324.349609375,95.8318099975586,1464.47
2006-11-30,1400.6300048828125,18960.48046875,97.73746490478516,1714.36
2006-12-31,1418.300048828125,19964.720703125,99.04432678222656,2041.05
2007-01-31,1438.239990234375,20106.419921875,100.53398895263672,2385.33
2007-02-28,1406.8199462890625,19651.509765625,98.5617904663086,2544.57
2007-03-31,1420.8599853515625,19800.9296875,99.7039794921875,2781.78
2007-04-30,1482.3699951171875,20318.98046875,104.12043762207031,3558.71
2007-05-31,1530.6199951171875,20634.470703125,107.65223693847656,3927.95
2007-06-30,1503.3499755859375,21772.73046875,106.0782699584961,3764.08
2007-07-31,1455.27001953125,23184.939453125,102.75692749023438,4460.56
2007-08-31,1473.989990234375,23984.140625,104.07564544677734,5296.81
2007-09-30,1526.75,27142.470703125,108.10478210449219,5580.81
2007-10-31,1549.3800048828125,31352.580078125,109.57144165039062,5688.54
2007-11-30,1481.1400146484375,28643.609375,105.32743072509766,4737.41
2007-12-31,1468.3599853515625,27812.650390625,104.14142608642578,5338.27
2008-01-31,1378.550048828125,23455.740234375,97.84487915039062,4620.4
2008-02-29,1330.6300048828125,24331.669921875,95.31633758544922,4674.55
2008-03-31,1322.699951171875,22849.19921875,94.46397399902344,3790.53
2008-04-30,1385.5899658203125,25755.349609375,98.96631622314453,3959.12
2008-05-31,1400.3800048828125,24533.119140625,100.4623794555664,3611.33
2008-06-30,1280.0,22102.009765625,92.06615447998047,2791.82
2008-07-31,1267.3800048828125,22731.099609375,91.23884582519531,2805.21
2008-08-31,1282.8299560546875,21261.890625,92.64884185791016,2391.64
2008-09-30,1166.3599853515625,18016.2109375,83.92373657226562,2243.66
2008-10-31,968.75,13968.669921875,70.06067657470703,1663.66
2008-11-30,896.239990234375,13888.240234375,65.18399047851562,1829.92
2008-12-31,903.25,14387.48046875,65.82254791259766,1817.72
2009-01-31,825.8800048828125,13278.2099609375,60.41757583618164,2032.68
2009-02-28,735.0900268554688,12811.5703125,53.92574691772461,2140.49
2009-03-31,797.8699951171875,13576.01953125,58.418365478515625,2507.79
2009-04-30,872.8099975585938,15520.990234375,64.22198486328125,2622.93
2009-05-31,919.1400146484375,18171.0,67.97598266601562,2759.71
2009-06-30,919.3200073242188,18378.73046875,67.93148803710938,3166.47
2009-07-31,987.47998046875,20573.330078125,72.99955749511719,3734.62
2009-08-31,1020.6199951171875,19724.189453125,75.69613647460938,2830.27
2009-09-30,1057.0799560546875,20955.25,78.38011169433594,3004.8
2009-10-31,1036.18994140625,21752.869140625,76.87323760986328,3280.37
2009-11-30,1095.6300048828125,21821.5,81.60916137695312,3511.67
2009-12-31,1115.0999755859375,21872.5,83.16796112060547,3575.68
2010-01-31,1073.8699951171875,20121.990234375,80.14544677734375,3204.16
2010-02-28,1104.489990234375,20608.69921875,82.64555358886719,3281.67
2010-03-31,1169.4300537109375,21239.349609375,87.67698669433594,3345.61
2010-04-30,1186.68994140625,21108.58984375,89.0333251953125,3067.36
2010-05-31,1089.4100341796875,19765.189453125,81.9592514038086,2773.26
2010-06-30,1030.7099609375,20128.990234375,77.71861267089844,2563.07
2010-07-31,1101.5999755859375,21029.810546875,83.02679443359375,2868.85
2010-08-31,1049.3299560546875,20536.490234375,79.29225158691406,2903.19
2010-09-30,1141.199951171875,22358.169921875,86.39323425292969,2935.57
2010-10-31,1183.260009765625,23096.3203125,89.69364166259766,3379.98
2010-11-30,1180.550048828125,23007.990234375,89.69364166259766,3136.99
2010-12-31,1257.6400146484375,23035.44921875,95.68987274169922,3128.26
2011-01-31,1286.1199951171875,23447.33984375,97.91944885253906,3076.51
2011-02-28,1327.219970703125,23338.01953125,101.3209228515625,3239.56
2011-03-31,1325.8299560546875,23527.51953125,101.33309936523438,3223.29
2011-04-30,1363.6099853515625,23720.810546875,104.2678451538086,3192.72
2011-05-31,1345.199951171875,23684.130859375,103.09854888916016,3001.56
2011-06-30,1320.6400146484375,22398.099609375,101.35926818847656,3044.09
2011-07-31,1292.280029296875,22440.25,99.3316421508789,2972.08
2011-08-31,1218.8900146484375,20534.849609375,93.87080383300781,2846.78
2011-09-30,1131.4200439453125,17592.41015625,87.35421752929688,2581.35
2011-10-31,1253.300048828125,19864.869140625,96.88868713378906,2695.31
2011-11-30,1246.9599609375,17989.349609375,96.49495697021484,2521.52
2011-12-31,1257.5999755859375,18434.390625,97.503173828125,2345.74
2012-01-31,1312.4100341796875,20390.490234375,102.02486419677734,2464.26
2012-02-29,1365.6800537109375,21680.080078125,106.45326232910156,2634.14
2012-03-31,1408.469970703125,20555.580078125,109.87721252441406,2454.9
2012-04-30,1397.9100341796875,21094.2109375,109.14370727539062,2626.16
2012-05-31,1310.3299560546875,18629.51953125,102.58897399902344,2632.04
2012-06-30,1362.1600341796875,19441.4609375,106.75218200683594,2461.61
2012-07-31,1379.3199462890625,19796.810546875,108.01502990722656,2332.92
2012-08-31,1406.5799560546875,19482.5703125,110.72106170654297,2204.87
2012-09-30,1440.6700439453125,20840.380859375,113.52796936035156,2293.11
2012-10-31,1412.1600341796875,21641.8203125,111.46194458007812,2254.82
2012-11-30,1416.1800537109375,22030.390625,112.0927734375,2139.66
2012-12-31,1426.18994140625,22656.919921875,113.09425354003906,2522.95
2013-01-31,1498.1099853515625,23729.529296875,118.88357543945312,2686.88
2013-02-28,1514.6800537109375,23020.26953125,120.4003677368164,2673.33
2013-03-31,1569.18994140625,22299.630859375,124.97212219238281,2495.08
2013-04-30,1597.5699462890625,22737.009765625,127.37317657470703,2447.31
2013-05-31,1630.739990234375,22392.16015625,130.38043212890625,2606.43
2013-06-30,1606.280029296875,20803.2890625,128.64053344726562,2200.64
2013-07-31,1685.72998046875,21883.66015625,135.28831481933594,2193.02
2013-08-31,1632.969970703125,21731.369140625,131.23068237304688,2313.91
2013-09-30,1681.550048828125,22859.859375,135.38368225097656,2409.04
2013-10-31,1756.5400390625,23206.369140625,141.65283203125,2373.72
2013-11-30,1805.81005859375,23881.2890625,145.85108947753906,2438.94
2013-12-31,1848.3599853515625,23306.390625,149.6325225830078,2330.03
2014-01-31,1782.5899658203125,22035.419921875,144.35821533203125,2202.45
2014-02-28,1859.449951171875,22836.9609375,150.92877197265625,2178.97
2014-03-31,1872.3399658203125,22151.060546875,152.18080139160156,2146.3
2014-04-30,1883.949951171875,22133.970703125,153.2386932373047,2158.66
2014-05-31,1923.5699462890625,23081.650390625,156.7948455810547,2156.46
2014-06-30,1960.22998046875,23190.720703125,160.0318603515625,2165.12
2014-07-31,1930.6700439453125,24756.849609375,157.88140869140625,2350.25
2014-08-31,2003.3699951171875,24742.060546875,164.11195373535156,2338.29
2014-09-30,1972.2900390625,22932.98046875,161.84780883789062,2450.99
2014-10-31,2018.050048828125,23998.060546875,165.65953063964844,2508.32
2014-11-30,2067.56005859375,23987.44921875,170.21044921875,2808.82
2014-12-31,2058.89990234375,23605.0390625,169.77870178222656,3533.71
2015-01-31,1994.989990234375,24507.05078125,164.748291015625,3434.39
2015-02-28,2104.5,24823.2890625,174.0078887939453,3572.84
2015-03-31,2067.889892578125,24900.890625,171.2750244140625,4051.2
2015-04-30,2085.510009765625,28133.0,172.95924377441406,4749.89
2015-05-31,2107.389892578125,27424.189453125,175.1829071044922,4840.83
2015-06-30,2063.110107421875,26250.029296875,171.62451171875,4473.0
2015-07-31,2103.840087890625,24636.279296875,175.50140380859375,3816.7
2015-08-31,1972.1800537109375,21670.580078125,164.80459594726562,3366.54
2015-09-30,1920.030029296875,20846.30078125,160.59945678710938,3202.95
2015-10-31,2079.360107421875,22640.0390625,174.25999450683594,3534.08
2015-11-30,2080.409912109375,21996.419921875,174.8969268798828,3566.41
2015-12-31,2043.93994140625,21914.400390625,171.87420654296875,3731.0
2016-01-31,1940.239990234375,19683.109375,163.3172607421875,2946.09
2016-02-29,1932.22998046875,19111.9296875,163.18234252929688,2877.47
