universe,model,validation_mse,alpha,l1_ratio,test_mse,oos_r2,forecast_correlation,nonzero_coefficients
Hang Seng Index,Zero,,,,0.002189178850185249,0.0,,0
Hang Seng Index,OLS,0.002662113944238339,,,0.002200802713301531,-0.005309690944300227,0.021419323362197235,30
Hang Seng Index,Ridge,0.0026430693471260324,1000.0,0.0,0.002192474468423808,-0.0015054129717542164,0.03041474578520609,30
Hang Seng Index,LASSO,0.002620617099300481,0.003,1.0,0.0021921560559928096,-0.0013599646311714952,,0
Hang Seng Index,Elastic Net,0.002620557458562578,0.01,0.25,0.0021921560559928096,-0.0013599646311714952,,0
Hang Seng Index,PCR,0.002619719178792539,5.0,,0.002188656596923881,0.00023856125840227005,0.04263951389469991,30
Hang Seng Index,PLS,0.002623749853299984,1.0,,0.0021880011641971257,0.0005379578685513753,0.04368603550726894,30
