universe,model,sortable,weeks,mean_weekly_spread,t_statistic,annualized_sharpe,hit_rate,first_half_mean,second_half_mean,note
Hang Seng Index,OLS,True,52.0,0.003227231842815816,1.0317481097055519,1.0317481097055519,0.5576923076923077,-0.0006567532622605419,0.0071112169478921745,
Hang Seng Index,Ridge,True,52.0,0.004805215800112736,1.459184834602694,1.459184834602694,0.5384615384615384,0.0012801893099502715,0.008330242290275201,
Hang Seng Index,LASSO,False,,,,,,,,constant forecast: all slopes are zero
Hang Seng Index,Elastic Net,False,,,,,,,,constant forecast: all slopes are zero
Hang Seng Index,PCR,True,52.0,0.0046303143333808385,1.4069865333751201,1.4069865333751201,0.5576923076923077,-0.003329330838393552,0.012589959505155228,
Hang Seng Index,PLS,True,52.0,0.004182470508440903,1.255059660444332,1.255059660444332,0.5769230769230769,-0.0035069893150013495,0.011871930331883156,
