model,oos_r2_pct,sortable,Q1,Q2,Q3,Q4,Q5,spread_pct,t,spread_ref_pct,t_ref
OLS,-1.209,True,1.957,1.343,0.42,1.309,0.027,-1.93,-1.94,0.323,1.03
Ridge,-0.431,True,1.697,1.933,1.198,0.387,-0.112,-1.808,-1.36,0.481,1.46
LASSO,1.709,False,,,,,,,,,
Elastic Net,1.709,False,,,,,,,,,
PCR,-0.426,True,2.629,0.749,1.203,0.473,-0.001,-2.63,-2.16,0.463,1.41
PLS,-0.054,True,2.914,0.72,0.77,1.048,-0.438,-3.352,-4.03,0.418,1.26
