month,真实净值(价格),对数收益正确累加,误当简单收益复利,偏离%
2006-07-31,1.0,1.0,1.0,0.0
2006-08-31,1.0212741931150264,1.0212741931150269,1.0210510566201956,-0.021848833186532968
2006-09-30,1.0463631192498966,1.0463631192498963,1.045831352229398,-0.05082050491991286
2006-10-31,1.0793319321628483,1.079331932162848,1.078274936523258,-0.09793054463534956
2006-11-30,1.0971049201699037,1.097104920169903,1.0958859170575477,-0.11111089650087669
2006-12-31,1.1109457575676736,1.110945757567673,1.1096248928911585,-0.11889551470154469
2007-01-31,1.1265645917697344,1.1265645917697344,1.1251165117226896,-0.12853946037573172
2007-02-28,1.10195346343164,1.1019534634316392,1.1002645589874387,-0.15326458877326088
2007-03-31,1.112950940196487,1.1129509401964865,1.1111907491567499,-0.1581553127064539
2007-04-30,1.1611313548087046,1.161131354808704,1.1582828389304634,-0.24532244921682267
2007-05-31,1.1989252848356617,1.1989252848356617,1.1953834766866356,-0.29541525179458406
2007-06-30,1.1775648452502148,1.1775648452502139,1.173894135023501,-0.3117204323413558
2007-07-31,1.1399041096060687,1.1399041096060687,1.135737326942831,-0.36553799816351207
2007-08-31,1.1545673482145786,1.1545673482145782,1.1502537979024063,-0.3736075092408253
2007-09-30,1.1958939413193166,1.1958939413193161,1.1907062573429152,-0.43379130850669245
2007-10-31,1.2136198857970517,1.2136198857970517,1.2082257864221733,-0.4444636609868824
2007-11-30,1.1601679186269331,1.1601679186269331,1.1538039349553069,-0.5485398768100835
2007-12-31,1.1501573998085175,1.1501573998085177,1.143805128124979,-0.5522958583404347
2008-01-31,1.0798098255765534,1.0798098255765534,1.0716151665900195,-0.7588983534353666
2008-02-29,1.0422743481100691,1.042274348110069,1.0337017010527463,-0.8224942955631032
2008-03-31,1.0360627855181277,1.0360627855181272,1.0275227978981147,-0.8242731752730714
2008-04-30,1.0853241495184875,1.0853241495184875,1.075252209967228,-0.9280121110110895
2008-05-31,1.0969090966982613,1.096909096698261,1.0866688237534583,-0.9335571175065116
2008-06-30,1.0026161748084004,1.0026161748084002,0.9889951679427978,-1.3585464914532719
2008-07-31,0.9927310097845761,0.9927310097845761,0.9791959104494518,-1.3634206246928349
2008-08-31,1.0048328620852962,1.0048328620852958,0.9910605916543344,-1.3706031073049019
2008-09-30,0.9136026460646606,0.9136026460646604,0.896730686303067,-1.8467503169205424
2008-10-31,0.7588159526137797,0.7588159526137797,0.7302647636716016,-3.7625973523397915
2008-11-30,0.7020193052493024,0.7020193052493024,0.6734513646541617,-4.069395297469159
2008-12-31,0.707510203043506,0.707510203043506,0.6786983230136499,-4.0722918066645075
2009-01-31,0.6469067588643348,0.6469067588643348,0.6179209699038587,-4.480674929314632
2009-02-28,0.5757915241137769,0.5757915241137769,0.5459600483161936,-5.1809508386734375
2009-03-31,0.6249666894521809,0.6249666894521809,0.590702944852539,-5.482491335606388
2009-04-30,0.6836667352240051,0.6836667352240047,0.6437316585349779,-5.8413075598803825
2009-05-31,0.7199567543751201,0.7199567543751201,0.6770258314474649,-5.962986341438903
2009-06-30,0.7200977415376866,0.7200977415376862,0.6771583985850778,-5.962988143931236
2009-07-31,0.7734870318105094,0.7734870318105093,0.7255900872658766,-6.192339699932637
2009-08-31,0.7994454026854398,0.7994454026854391,0.7495413345034773,-6.242336001223903
2009-09-30,0.8280042671923303,0.82800426719233,0.7758502858394601,-6.298757557097923
2009-10-31,0.811641246427871,0.8116412464278707,0.7603644070832035,-6.317672933742946
2009-11-30,0.8582002847663395,0.8582002847663391,0.8027768315797266,-6.45810239991973
2009-12-31,0.8734509937897761,0.8734509937897754,0.8169173604163368,-6.472444793742593
2010-01-31,0.8411558021452423,0.8411558021452421,0.786139897800012,-6.540512970952639
2010-02-28,0.8651402571273098,0.8651402571273096,0.8082420164273366,-6.5767648923081286
2010-03-31,0.9160074118419081,0.9160074118419076,0.8544191583636525,-6.723554054482372
2010-04-30,0.9295269763565149,0.9295269763565145,0.8669375721570957,-6.733468289941646
2010-05-31,0.853328219739943,0.8533282197399428,0.7927870380187048,-7.094712247965795
2010-06-30,0.8073488112281813,0.8073488112281813,0.7488757932740667,-7.24259664978788
2010-07-31,0.8628765263210937,0.862876526321093,0.7986878650235802,-7.4389161530658665
2010-08-31,0.82193373957142,0.8219337395714195,0.7598621919867233,-7.551891910053799
2010-09-30,0.8938949451058427,0.8938949451058419,0.823636266353344,-7.859836229880413
2010-10-31,0.9268403318710636,0.9268403318710627,0.8534461763650517,-7.918748567819344
2010-11-30,0.9247176360358789,0.9247176360358784,0.8514893297858985,-7.918990986686348
2010-12-31,0.9851017349787478,0.9851017349787475,0.9053515539395457,-8.095628929221466
2011-01-31,1.0074099295695258,1.0074099295695251,0.925625063956534,-8.118330305513178
2011-02-28,1.0396032891841285,1.0396032891841276,0.954742059834477,-8.162847331528722
2011-03-31,1.038514499207766,1.038514499207765,0.9537416221444838,-8.162897786015645
2011-04-30,1.0681073651904083,1.0681073651904072,0.9805388421045117,-8.19847572816671
2011-05-31,1.0536868979659315,1.053686897965931,0.9672104566010081,-8.207033942612373
2011-06-30,1.0344492498325986,1.0344492498325981,0.9493884569117127,-8.222809667526077
2011-07-31,1.0122350466835315,1.0122350466835313,0.9287787944428646,-8.244750319019422
2011-08-31,0.9547490968741965,0.9547490968741964,0.8744754181686312,-8.4078297605494
2011-09-30,0.8862344035640637,0.8862344035640629,0.8093557691268903,-8.674751750552634
2011-10-31,0.9817022662837782,0.9817022662837773,0.8921581993951546,-9.121305915651146
2011-11-30,0.9767361141987412,0.9767361141987405,0.8876335711579422,-9.122478604560836
2011-12-31,0.9850703726258675,0.9850703726258673,0.8951754078528367,-9.125740380700009
2012-01-31,1.028002756444844,1.0280027564448433,0.9333636305583258,-9.20611596546783
2012-02-29,1.0697288370810867,1.0697288370810865,0.9704996910317013,-9.276102747696957
2012-03-31,1.1032459174678648,1.1032459174678637,1.0004410386013953,-9.318401023628898
2012-04-30,1.094974383746499,1.0949743837464982,0.9929120199324052,-9.320981872186195
2012-05-31,1.0263734439659455,1.0263734439659447,0.9286712991803958,-9.519161408543953
2012-06-30,1.066971627301655,1.0669716273016543,0.964696984744246,-9.58550723753161
2012-07-31,1.0804128815509908,1.0804128815509901,0.9767739152984971,-9.592533375177315
2012-08-31,1.1017654805482178,1.101765480548217,0.9958899763617725,-9.609622560852394
2012-09-30,1.1284680379855463,1.1284680379855454,1.0197386719337067,-9.635130317552887
2012-10-31,1.106136321630108,1.1061363216301068,0.9993562961126881,-9.653423672053263
2012-11-30,1.1092851783528244,1.1092851783528237,1.0021971387338322,-9.65378801671244
2012-12-31,1.1171258621898055,1.1171258621898044,1.0092559820914158,-9.656018515849386
2013-01-31,1.173460392933947,1.1734603929339458,1.0589091479718393,-9.761833092270011
2013-02-28,1.186439626179877,1.1864396261798755,1.0705570714329595,-9.767252558820761
