数据,R²,相关系数,斜率,p值,y标准差,拟合值标准差,残差标准差,拟合值sd/残差sd
真实 SPY 月收益 vs volatility_12,0.010111,0.100555,0.076421,0.120280,0.044363,0.004461,0.044138,0.101067
合成 y（同一个 x）,0.500000,0.707107,0.537398,0.000000,0.044363,0.031370,0.031370,1.000000
