market,oos_r2,directional_accuracy,positive_return_base_rate,directional_hits,positive_months,test_mse,benchmark_mse
U.S.: SPY,0.06739572689983675,0.6333333333333333,0.6333333333333333,38,38,0.0020633589210717856,0.002212469940988762
HKSAR: Hang Seng,0.04403110943950861,0.4166666666666667,0.4666666666666667,25,28,0.004959932177009773,0.005188382410751599
Chinese Mainland: CSI 300,0.04317418992633759,0.5166666666666667,0.48333333333333334,31,29,0.0026758819356811256,0.0027966239074122797
